harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
2270000000.0,Sleman,36,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2270000000.0,Sleman,36,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1900000000.0,Sleman,40,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1900000000.0,Sleman,40,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
3000000000.0,Sleman,222,222,3,2,2200,Sebagian,4.0,SHM - Sertifikat Hak Milik
3000000000.0,Sleman,50,100,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
4800000000.0,Sleman,500,1075,10,10,3500,Lengkap,8.0,SHM - Sertifikat Hak Milik
4800000000.0,Sleman,27,61,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1975000000.0,Yogyakarta,75,63,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1795000000.0,Bantul,60,95,3,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1795000000.0,Sleman,80,87,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 800 jt,Sleman,100,107,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1200000000.0,Sleman,80,127,3,2,900,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1200000000.0,Sleman,80,115,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
5000000000.0,Sleman,100,213,4,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1200000000.0,Sleman,600,545,4,3,2200,Tak Berperabot,6.0,SHM - Sertifikat Hak Milik
1200000000.0,Sleman,181,197,5,4,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
4900000000.0,Sleman,329,329,5,5,2200,Lengkap,2.0,SHM - Sertifikat Hak Milik
5200000000.0,Sleman,135,148,3,2,2200,Lengkap,2.0,SHM - Sertifikat Hak Milik
5200000000.0,Sleman,112,110,3,2,2200,Sebagian,2.0,SHGB - Hak Guna Bangunan
6500000000.0,Sleman,85,112,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
6500000000.0,Yogyakarta,554,684,10,10,22000,Lengkap,3.0,SHM - Sertifikat Hak Milik
1325000000.0,Sleman,1200,437,10,10,2200,Lengkap,8.0,SHM - Sertifikat Hak Milik
1325000000.0,Yogyakarta,150,239,5,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 850 jt,Bantul,60,99,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1825000000.0,Sleman,250,165,5,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1825000000.0,Sleman,80,87,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,4 M",Yogyakarta,240,140,5,4,1300,Lengkap,3.0,SHM - Sertifikat Hak Milik
775000000.0,Yogyakarta,75,63,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1100000000.0,Yogyakarta,75,63,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1100000000.0,Wates,100,105,3,2,2200,Sebagian,1.0,SHM - Sertifikat Hak Milik
715000000.0,Sleman,190,130,4,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 1,975 M",Bantul,125,220,4,3,1300,Sebagian,1.0,SHM - Sertifikat Hak Milik
750000000.0,Sleman,170,110,4,4,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,4 M",Sleman,180,106,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1500000000.0,Bantul,140,113,4,3,4400,Sebagian,1.0,SHM - Sertifikat Hak Milik
1800000000.0,Sleman,400,2700,5,6,2200,Sebagian,10.0,SHM - Sertifikat Hak Milik
1850000000.0,Sleman,225,220,8,9,2200,Sebagian,1.0,SHM - Sertifikat Hak Milik
1850000000.0,Sleman,70,109,2,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1795000000.0,Sleman,150,184,5,3,2200,Tak Berperabot,1.0,SHGB - Hak Guna Bangunan
"Rp 1,59 M",Sleman,112,110,3,2,2200,Sebagian,2.0,SHGB - Hak Guna Bangunan
2700000000.0,Sleman,40,84,2,1,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1500000000.0,Sleman,75,63,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1500000000.0,Sleman,200,92,4,3,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2500000000.0,Yogyakarta,75,63,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2500000000.0,Sleman,137,338,5,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2970000000.0,Sleman,200,144,4,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1900000000.0,Bantul,50,79,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1900000000.0,Bantul,40,91,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1900000000.0,Yogyakarta,75,63,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1900000000.0,Yogyakarta,75,63,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2800000000.0,Yogyakarta,100,71,3,3,1300,Sebagian,1.0,SHM - Sertifikat Hak Milik
2800000000.0,Yogyakarta,75,63,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
6000000000.0,Sleman,75,63,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
6000000000.0,Bantul,60,84,5,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1594000000.0,Bantul,50,80,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1594000000.0,Bantul,65,105,2,2,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 450 jt,Bantul,45,82,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1945000000.0,Bantul,55,79,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1945000000.0,Bantul,126,200,4,3,1300,Tak Berperabot,2.0,SHGB - Hak Guna Bangunan
3400000000.0,Bantul,60,84,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
4500000000.0,Sleman,36,60,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
4500000000.0,Bantul,60,85,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2800000000.0,Sleman,110,200,4,3,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
2800000000.0,Sleman,40,90,2,1,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1800000000.0,Sleman,110,133,4,3,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1800000000.0,Bantul,70,91,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1500000000.0,Sleman,184,212,10,10,6600,Tak Berperabot,6.0,SHM - Sertifikat Hak Milik
1500000000.0,Sleman,75,73,3,2,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1179000000.0,Sleman,184,212,10,10,6600,Tak Berperabot,10.0,SHM - Sertifikat Hak Milik
1179000000.0,Sleman,236,110,4,3,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1200000000.0,Kulon Progo,36,98,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1200000000.0,Sleman,195,390,5,6,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1250000000.0,Bantul,60,87,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2000000000.0,Sleman,36,66,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2000000000.0,Bantul,45,96,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1600000000.0,Sleman,36,66,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1200000000.0,Bantul,45,95,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1200000000.0,Sleman,60,110,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
975000000.0,Bantul,60,83,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
975000000.0,Sleman,90,90,3,3,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1700000000.0,Sleman,36,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2500000000.0,Sleman,174,145,4,3,2200,Sebagian,1.0,SHM - Sertifikat Hak Milik
2500000000.0,Sleman,140,129,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2000000000.0,Sleman,100,153,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2000000000.0,Sleman,125,167,4,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1850000000.0,Sleman,182,130,4,3,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1850000000.0,Sleman,150,235,4,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
9850000000.0,Bantul,45,100,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
9850000000.0,Bantul,40,75,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
9850000000.0,Bantul,45,84,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1900000000.0,Bantul,76,76,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
6500000000.0,Bantul,55,92,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
4950000000.0,Bantul,50,80,2,1,900,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
9500000000.0,Bantul,45,88,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
9500000000.0,Bantul,45,89,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2900000000.0,Sleman,36,106,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2875000000.0,Bantul,300,590,5,2,2200,Tak Berperabot,8.0,SHM - Sertifikat Hak Milik
1650000000.0,Sleman,60,90,3,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 414,500324 jt",Sleman,36,115,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,5 M",Sleman,198,198,6,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
12800000000.0,Bantul,45,93,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1950000000.0,Sleman,198,198,6,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
180000000.0,Sleman,100,140,3,2,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
715000000.0,Sleman,221,170,4,3,1300,Sebagian,2.0,SHM - Sertifikat Hak Milik
715000000.0,Sleman,260,1628,4,2,22000,Sebagian,10.0,SHM - Sertifikat Hak Milik
"Rp 420,092099 jt",Bantul,55,82,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
765000000.0,Sleman,80,124,4,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 785 jt,Sleman,60,108,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,7999 M",Yogyakarta,154,130,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1350000000.0,Bantul,60,83,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
6900000000.0,Sleman,154,130,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 300,01021 jt",Sleman,36,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1450000000.0,Yogyakarta,154,130,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
4300000000.0,Yogyakarta,154,130,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1900000000.0,Sleman,280,150,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
10000000000.0,Sleman,280,150,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
7500000000.0,Bantul,65,84,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 4,6 M",Yogyakarta,900,600,10,7,4400,Tak Berperabot,3.0,SHM - Sertifikat Hak Milik
2875000000.0,Yogyakarta,112,112,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
29000000000.0,Sleman,27,61,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
4500000000.0,Sleman,70,100,3,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
4950000000.0,Sleman,250,200,10,10,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
6500000000.0,Sleman,84,100,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1980000000.0,Sleman,159,108,5,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 980,2909 jt",Sleman,90,100,3,2,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 2,375859 M",Sleman,168,120,5,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 1,331 M",Yogyakarta,95,125,4,3,3500,Sebagian,2.0,SHM - Sertifikat Hak Milik
"Rp 1,615 M",Sleman,95,143,4,3,3500,Sebagian,2.0,SHM - Sertifikat Hak Milik
1100000000.0,Sleman,250,200,10,10,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1200000000.0,Sleman,36,65,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1150000000.0,Yogyakarta,75,63,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
850000000.0,Yogyakarta,75,63,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2550000000.0,Bantul,77,106,3,2,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1550000000.0,Bantul,45,92,2,1,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
680929030.0,Bantul,45,95,2,1,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
"Rp 1,6 M",Bantul,120,144,4,4,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
450,Bantul,106,77,3,2,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1780293000.0,Yogyakarta,154,130,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
450000000.0,Sleman,40,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 205,09 jt",Sleman,27,60,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 390 jt,Sleman,40,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
450000000.0,Sleman,40,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 390 jt,Sleman,40,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 390 jt,Sleman,40,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 10,000000001 M",Sleman,500,1075,10,10,3500,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 2,8855 M",Sleman,179,212,10,10,3500,Sebagian,6.0,SHM - Sertifikat Hak Milik
2130900000.0,Sleman,75,80,3,2,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 10,000000001 M",Sleman,500,1075,10,10,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1100000000.0,Yogyakarta,161,782,5,2,1300,Tak Berperabot,4.0,SHM - Sertifikat Hak Milik
750000000.0,Yogyakarta,300,400,4,2,4400,Tak Berperabot,3.0,SHM - Sertifikat Hak Milik
850000008.0,Yogyakarta,100,51,3,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
25000000000.0,Sleman,40,72,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1250000000.0,Sleman,21,77,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,300000001 M",Yogyakarta,176,176,10,4,3500,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
670000000.0,Yogyakarta,176,176,10,4,3500,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
670000000.0,Sleman,199,199,10,8,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
3750000000.0,Sleman,36,115,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2600000000.0,Yogyakarta,75,63,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1300000000.0,Sleman,199,199,10,8,3500,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1100000000.0,Sleman,200,135,4,2,2200,Sebagian,3.0,SHM - Sertifikat Hak Milik
1150000000.0,Sleman,60,60,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
715000000.0,Sleman,115,151,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
715000000.0,Sleman,36,72,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1100000000.0,Sleman,2200,2200,10,10,3500,Tak Berperabot,4.0,SHM - Sertifikat Hak Milik
1691092900.0,Sleman,2200,2200,10,10,3500,Tak Berperabot,4.0,SHM - Sertifikat Hak Milik
1800000000.0,Bantul,45,75,3,1,1300,Tak Berperabot,3.0,SHM - Sertifikat Hak Milik
4800000000.0,Sleman,45,130,2,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 400 jt,Sleman,120,120,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
3599999000.0,Sleman,90,100,3,3,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
2375892090.0,Sleman,60,113,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1800000000.0,Yogyakarta,190,133,4,3,2200,Lengkap,2.0,SHM - Sertifikat Hak Milik
2625893090.0,Yogyakarta,190,133,4,3,2200,Lengkap,1.0,SHM - Sertifikat Hak Milik
1495000000.0,Sleman,180,135,5,4,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
4800000000.0,Sleman,180,135,5,4,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
3599999000.0,Sleman,235,150,4,4,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 2,4 M",Sleman,235,150,4,4,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 1,9 M",Sleman,105,199,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
3599999000.0,Sleman,105,199,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
3599999000.0,Sleman,120,103,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
210000048.0,Sleman,120,103,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
299000000.0,Yogyakarta,150,270,4,4,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
258000012.00000003,Yogyakarta,150,270,4,4,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
"Rp 2,27 M",Sleman,158,135,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
389000000.0,Sleman,158,135,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
435000000.0,Sleman,140,167,4,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
180000000.0,Sleman,140,167,4,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
680293000.0,Sleman,230,154,4,3,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
1691029000.0,Sleman,165,135,4,3,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
1130929300.0,Bantul,45,77,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
445000000.0,Bantul,50,71,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
3500000000.0,Sleman,50,72,2,1,1300,Sebagian,1.0,SHM - Sertifikat Hak Milik
Rp 750 jt,Sleman,60,117,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
460000000.0,Sleman,266,236,4,3,5500,Sebagian,3.0,SHM - Sertifikat Hak Milik
1970000000.0,Sleman,266,236,4,3,5500,Sebagian,3.0,SHM - Sertifikat Hak Milik
850000000.0,Sleman,208,230,4,3,5500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1790000000.0,Sleman,208,230,4,3,5500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1200000000.0,Sleman,165,135,4,3,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
2900000000.0,Sleman,105,150,3,2,2200,Lengkap,2.0,SHM - Sertifikat Hak Milik
"Rp 1,795 M",Sleman,112,122,3,2,2200,Lengkap,2.0,SHM - Sertifikat Hak Milik
1150000000.0,Sleman,112,122,3,2,2200,Lengkap,2.0,SHM - Sertifikat Hak Milik
13500000000.0,Sleman,60,111,3,2,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
765000000.0,Sleman,60,111,3,2,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
667000000.0,Sleman,92,152,3,2,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
950000000.0,Sleman,130,140,3,2,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1350000000.0,Yogyakarta,400,320,6,4,3500,Sebagian,4.0,SHM - Sertifikat Hak Milik
2600000000.0,Sleman,92,152,3,2,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
295001320.0,Sleman,130,140,3,2,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
2100000000.0,Yogyakarta,400,320,6,4,3500,Sebagian,4.0,SHM - Sertifikat Hak Milik
13000000000.0,Sleman,350,519,4,4,5500,Sebagian,5.0,SHM - Sertifikat Hak Milik
1700000000.0,Sleman,519,350,4,4,5500,Sebagian,5.0,SHM - Sertifikat Hak Milik
550000000.0,Sleman,390,365,5,3,5500,Sebagian,3.0,SHM - Sertifikat Hak Milik
1700000000.0,Sleman,390,365,5,3,5500,Sebagian,3.0,SHM - Sertifikat Hak Milik
2750000000.0,Sleman,218,200,4,3,5500,Sebagian,2.0,SHM - Sertifikat Hak Milik
530000000.0,Sleman,218,200,4,3,5500,Sebagian,2.0,SHM - Sertifikat Hak Milik
"Rp 1,325 M",Sleman,97,168,3,2,1300,Sebagian,2.0,SHM - Sertifikat Hak Milik
"Rp 1,325 M",Sleman,97,168,3,2,1300,Sebagian,2.0,SHM - Sertifikat Hak Milik
3577000000.0,Sleman,100,129,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
3000000000.0,Sleman,150,99,4,2,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
"Rp 1,825 M",Sleman,150,99,4,2,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
1500000000.0,Sleman,60,88,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 775 jt,Sleman,60,88,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1800000000.0,Sleman,85,92,3,2,1300,Lengkap,2.0,SHM - Sertifikat Hak Milik
"Rp 1,1 M",Sleman,85,92,3,2,1300,Lengkap,2.0,SHM - Sertifikat Hak Milik
850000000.0,Bantul,60,94,2,1,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2500000000.0,Bantul,60,94,2,1,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 750 jt,Sleman,80,125,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
10500000000.0,Sleman,80,125,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1190000000.0,Yogyakarta,240,146,2,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1990000000.0,Bantul,180,215,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1790000000.0,Sleman,170,110,4,4,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
975000000.0,Sleman,170,110,4,4,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
400000000.0,Sleman,105,150,3,2,2200,Lengkap,2.0,SHM - Sertifikat Hak Milik
6000000000.0,Sleman,100,129,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
725000000.0,Sleman,230,140,4,5,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1950000000.0,Sleman,230,140,4,5,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
25000000000.0,Sleman,142,129,4,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
8000000000.0,Sleman,142,129,4,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
4250000000.0,Sleman,182,130,4,3,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
1720000000.0,Sleman,182,130,4,3,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
800000000.0,Yogyakarta,232,143,4,2,4400,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
2300000000.0,Yogyakarta,232,143,4,2,4400,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1650000000.0,Sleman,114,148,3,3,2200,Lengkap,1.0,SHM - Sertifikat Hak Milik
1450000000.0,Sleman,114,148,3,3,2200,Lengkap,1.0,SHM - Sertifikat Hak Milik
1700000000.0,Bantul,140,113,4,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
5600000000.0,Bantul,140,113,4,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1675000000.0,Yogyakarta,160,305,3,2,2200,Tak Berperabot,4.0,SHM - Sertifikat Hak Milik
"Rp 2,8 M",Yogyakarta,160,305,3,2,2200,Tak Berperabot,4.0,SHM - Sertifikat Hak Milik
400000000.0,Sleman,230,252,3,4,5500,Sebagian,2.0,SHM - Sertifikat Hak Milik
2000000000.0,Sleman,230,252,3,4,5500,Sebagian,2.0,SHM - Sertifikat Hak Milik
425000000.0,Sleman,90,112,3,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 1,594 M",Sleman,90,112,3,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
Rp 985 jt,Sleman,73,93,3,2,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1250000000.0,Sleman,73,93,3,2,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
425000000.0,Sleman,100,122,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
525000000.0,Sleman,100,122,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 1,945 M",Sleman,185,120,3,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
385000000.0,Sleman,150,120,3,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1200000000.0,Yogyakarta,417,270,6,5,3500,Sebagian,3.0,SHM - Sertifikat Hak Milik
1175000000.0,Yogyakarta,417,270,6,5,3500,Sebagian,3.0,SHM - Sertifikat Hak Milik
2100000000.0,Yogyakarta,500,418,10,8,3500,Tak Berperabot,5.0,SHM - Sertifikat Hak Milik
790000000.0,Yogyakarta,500,418,10,8,3500,Tak Berperabot,5.0,SHM - Sertifikat Hak Milik
