harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
389000000.0,Sleman,500,1695,10,8,0,Sebagian,10.0,SHM - Sertifikat Hak Milik
1000000000.0,Sleman,250,144,5,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
Rp 470 jt,Bantul,70,80,2,2,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
3300000000.0,Sleman,49,140,2,1,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
10000000000.0,Sleman,500,1695,10,8,0,Sebagian,10.0,SHM - Sertifikat Hak Milik
650000000.0,Sleman,36,75,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2900000000.0,Sleman,50,135,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
4500000000.0,Bantul,300,190,5,3,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
2500000000.0,Sleman,45,100,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
4300000000.0,Sleman,106,213,5,3,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
"Rp 1,2 M",Sleman,250,149,5,3,1300,Sebagian,1.0,SHM - Sertifikat Hak Milik
650000000.0,Sleman,198,198,5,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2500000000.0,Sleman,170,322,4,2,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1550000000.0,Sleman,1000,1257,9,5,4400,Tak Berperabot,8.0,SHM - Sertifikat Hak Milik
525000000.0,Yogyakarta,45,79,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1100000000.0,Sleman,250,406,3,2,5500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1150000000.0,Yogyakarta,170,200,4,4,3500,Lengkap,3.0,SHM - Sertifikat Hak Milik
5100000000.0,Sleman,100,198,4,4,2200,Lengkap,3.0,SHM - Sertifikat Hak Milik
1400000000.0,Sleman,65,97,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
650000000.0,Yogyakarta,161,782,5,2,1300,Sebagian,2.0,SHM - Sertifikat Hak Milik
1250000000.0,Sleman,101,101,3,2,2200,Sebagian,1.0,SHM - Sertifikat Hak Milik
Rp 650 jt,Yogyakarta,100,120,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 2,5 M",Yogyakarta,130,80,3,2,3500,Sebagian,1.0,SHM - Sertifikat Hak Milik
2500000000.0,Sleman,200,184,6,3,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 525 jt,Sleman,60,165,2,1,900,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
389000000.0,Yogyakarta,480,360,10,6,2200,Sebagian,2.0,SHM - Sertifikat Hak Milik
